shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
SHP_30429_0,6.116928,102.222919,11
SHP_30429_0,6.118225,102.22035,12
SHP_30429_0,6.118931,102.217358,13
SHP_30429_0,6.120497,102.208842,14
SHP_30429_0,6.122,102.202133,15
SHP_30429_0,6.119928,102.199958,16
SHP_30429_0,6.118686,102.197831,17
SHP_30429_0,6.120192,102.188494,18
SHP_30429_0,6.125817,102.181558,19
SHP_30429_0,6.137047,102.172039,20
SHP_30429_0,6.141122,102.167783,21
SHP_30429_0,6.146103,102.163989,22
SHP_30429_0,6.149661,102.160706,23
SHP_30429_0,6.157889,102.152833,24
SHP_30429_0,6.161481,102.150486,25
SHP_30429_0,6.16875,102.141225,26
SHP_30429_0,6.172225,102.13045,27
SHP_30429_0,6.180797,102.119472,28
SHP_30429_0,6.184594,102.109094,29
SHP_30429_0,6.193994,102.107486,30
SHP_30429_0,6.199214,102.107858,31
SHP_30429_0,6.210425,102.110875,32
SHP_30429_0,6.217444,102.111906,33
SHP_30429_0,6.221739,102.109547,34
SHP_30429_0,6.22565,102.103481,35
SHP_30429_0,6.228872,102.098347,36
SHP_30429_0,6.230189,102.095792,37
SHP_30429_0,6.232808,102.092083,38
SHP_30430_0,6.128142,102.239464,1
SHP_30430_0,6.126106,102.242122,2
SHP_30430_0,6.125139,102.240944,3
SHP_30430_0,6.125153,102.238242,4
SHP_30430_0,6.122772,102.238867,5
SHP_30430_0,6.121731,102.239672,6
SHP_30430_0,6.119722,102.240775,7
SHP_30430_0,6.118192,102.241778,8
SHP_30430_0,6.116503,102.2405,9
SHP_30430_0,6.116672,102.239419,10
SHP_30430_0,6.116928,102.222919,11
SHP_30430_0,6.118225,102.22035,12
SHP_30430_0,6.118931,102.217358,13
SHP_30430_0,6.120497,102.208842,14
SHP_30430_0,6.134742,102.216281,15
SHP_30430_0,6.142147,102.218392,16
SHP_30430_0,6.156011,102.202072,17
SHP_30430_0,6.171322,102.187961,18
SHP_30430_0,6.17874,102.177212,19
SHP_30430_0,6.183378,102.169214,20
SHP_30430_0,6.190061,102.168989,21
SHP_30430_0,6.198758,102.16765,22
SHP_30430_0,6.198506,102.164958,23
SHP_30430_0,6.202078,102.155561,24
